	BuisnessID	ReviewText	ReviewRating	City
0	imbiss-204-berlin-2	Love it! GOD DAMN what amazing food. The meat balls were out of this world and the schnitzel. Wow. I loved sharing a table with a stranger (since there're...	5.0	Berlin
1	imbiss-204-berlin-2	Wow. Just wow. I never give 5 stars -I wish I could give them 6. The flavor, the portions, and the price -puts this cool little restaurant as my number one...	5.0	Berlin
2	imbiss-204-berlin-2	This place is amazing. If you want to get the best bang for your buck, I would come here. It's a total hole-in-the-wall, but it 1) has really good food; 2)...	4.0	Berlin
3	stadtklause-berlin	Small place with old world character. Outstanding food. Schnitzel was great as well as the meatballs. Fried potatoes were on the spot. Service was friendly,...	5.0	Berlin
4	stadtklause-berlin	"This place is heaven. Delicious food, delicious beer, good service. Appears to be mostly locals. The schnitzel is amazing. We broke our ""dont dine at the..."	5.0	Berlin
5	stadtklause-berlin	It's the kind of place where you you walk in and the waiters avoid eye contact with you, despite having to cross your path several times. The reviews here...	1.0	Berlin
6	burgermeister-berlin	If you're in Berlin, this is a must have. The line will always be around the block, but it moves quickly and there is free wifi. Grab a beer while waiting...	5.0	Berlin
7	burgermeister-berlin	When looking for this restaurant rated in the top 10 in Berlin, you might find yourself driving right by it. The restaurant is actually a small shop that...	4.0	Berlin
8	burgermeister-berlin	Gadaaaam this was a good cheeseburger. Also got the meister burger which was amazing.	5.0	Berlin
9	yarok-berlin	Looking for something different but yet amazing! This is your place while in Berlin! Soooooo good! Busy place but worth waiting if you don't get a seat...	5.0	Berlin
10	yarok-berlin	"Extremely friendly customer service, accommodating. The food was mediocre to me, but the food versus price was very fair in my opinion.
I tried a platter..."	3.0	Berlin
11	yarok-berlin	Very good quality, small place on a busy street. Nicer than a take-out place, but not quite a dining room. Seating for around 24 inside and a dozen outside...	4.0	Berlin
12	spätzle-club-berlin	"Wonderful!! The cashier was so friendly and explained the menu to us. The menu is not in English, but he was so helpful and friendly. 

I got the rocket..."	5.0	Berlin
13	spätzle-club-berlin	This place was fantastic!! Best meal in Berlin so far on our week vacation. Staff was just soooo nice and made us feel immensely welcome. Did a great job on...	5.0	Berlin
14	spätzle-club-berlin	Great meal!  Really y enjoyed it and the service was fantastic.  Great find for vegetarians in the city	4.0	Berlin
15	scheers-schnitzel-berlin	This was likely my favorite Schnitzel on my excessively schnitzel-filled recent trip.  I went with traditional, forgoing a intimidatingly long and delicious...	5.0	Berlin
16	scheers-schnitzel-berlin	They don't take credit cards and I didn't have enough cash to buy the veal :( I came all the way from Pennsylvania and couldn't try the signature...	3.0	Berlin
17	scheers-schnitzel-berlin	"When I'm near touristy destinations, I expect to find subpar food for a great deal, or subpar food for a subpar deal. 

This won't be the best schnitzel of..."	4.0	Berlin
18	al-andalos-berlin	"Probably the best falafel in the city.. The 1.5 Eur warp is the best in the city fot the price.
The spicy potatoes & spinach is also wonderful but more on..."	5.0	Berlin
19	al-andalos-berlin	"Yelpers are not wrong! 

I am glad i came to Al-Andalos. We came on a Sunday and you will find a lot of restaurants in this area open on a Sunday. 

We were..."	4.0	Berlin
20	al-andalos-berlin	"For a second day in a row, I didn't bring lunch to the office. So again I went somewhere new to find a new place to eat. 

This one is a little far from..."	4.0	Berlin
21	dan-thai-food-berlin	Hole-in-the-wall Thai restaurant serving up delicious and authentic fare. I just shared 7, 19, and 21 with another person and they were all spectacular. Get...	5.0	Berlin
22	dan-thai-food-berlin	Now that Berlin Food Stories has written about the place, the cat is out of the bag! Probably the most authentic Thai meal one can get in Berlin. The only...	4.0	Berlin
23	dan-thai-food-berlin	The place is crazy small so some people just drop by to get some take-away. I recommend to come in small groups or take the food to a park close by to avoid...	4.0	Berlin
24	mishba-berlin	"Again some food stand where I do not understand why they have almost 5 stars. 
I was hungry as hell and it didn't taste good. Not enough salt and beside of..."	3.0	Berlin
25	mishba-berlin	"Leave kumpir aside, burritos those guys make are tasty and really good.

It is one of 2-3 places around Friederichstr. that you can eat something good for a..."	5.0	Berlin
26	mishba-berlin	No wonder that these guys are doing pretty well. I work in the region of Friedrichstr, which is a street full of big companies with a paradoxically low...	5.0	Berlin
27	mabuhay-berlin	"Amazing and authentic Indonesian food with great prices and large portions. Most of the food tasted like they were from the Sumatra/Bali region. 

We had..."	5.0	Berlin
28	mabuhay-berlin	Maybe these yelp reviews set expectations too high or I simple wasn't super lucky with my order (Tofu and Green Bean Curry and Chicken Satay). The food was...	3.0	Berlin
29	mabuhay-berlin	Hidden gem alert:  5 stars for perfect execution of cheap, authentic, Indonesian food.  The food was outstanding & freshly prepared by the order. I'm glad I...	5.0	Berlin
30	boulevard-friedrichstrasse-berlin	Food was excellent, authentic, and reasonably priced. Location was also ideal as it was just over the bridge from our hotel. Also right next to one of the...	5.0	Berlin
31	boulevard-friedrichstrasse-berlin	Excellent food and very good service. Only complaints: inside was reserved at 5 pm on a Saturday, though we were able to sit outside with heaters; and two...	4.0	Berlin
32	boulevard-friedrichstrasse-berlin	I thought the best liver I could find in the world was in Jerusalem. I wrote about it already. It was really delicious.i was enchanted with the potatoes,...	5.0	Berlin
33	la-pausa-berlin	"Didn't actually go to the restaurant, but the Italian colleagues bought a bunch of the pizza and brought it to work for lunch today.

The pizza was awesome...."	5.0	Berlin
34	la-pausa-berlin	It was a late night as we were scrambling to find a bite to sooth our taste buds. No, we weren't really starving but we just wanted to eat. There isn't much...	1.0	Berlin
35	la-pausa-berlin	The pizza here is pretty good and cheap. The crust and base is super thin And crunchy and the topping combos are basic but good (e.g. Pepperoni, eggplant,...	4.0	Berlin
36	dolores-berlin	First European trip and I was missing the comforts of California, burritos included. Of course this isn't authentic Mexican and of course all Mexican food...	5.0	Berlin
37	dolores-berlin	Full disclosure: this review is probably a bit unfair because I work precisely 5 blocks from the real Dolores Park in the Mission District of San Francisco....	3.0	Berlin
38	dolores-berlin	"This is definitely not Mexican food, but it's a good place to get salads and burritos. 

BEWARE though: it seems that more often than not, when you get a..."	4.0	Berlin
39	mustafas-gemüsedöner-berlin	"I have waited up to three hours (in the rain!) for this kebap. Every time I am in Berlin, I have to stop at this 'food truck.'

The name of this place..."	5.0	Berlin
40	mustafas-gemüsedöner-berlin	The 4 star average here is pretty on-point, in my opinion. This is the most famous döner place in Berlin, and there can be insanely long lines up to a few...	4.0	Berlin
41	mustafas-gemüsedöner-berlin	This place is great. Absolutely delicious. It would be 5 stars if it was only based on food. We had chicken döner with vegetables and dürüm (both around 4...	4.0	Berlin
42	bergmann-curry-berlin	Currywurst isn't always Currywurst. This place is settled between cute coffee shops on Bergmannstr. It is an Imbiss  (standing fast food restaurant). The...	5.0	Berlin
43	bergmann-curry-berlin	Came here to try the currywurst over Curry36 since it seemed to have a better rating but it's really all the same. Typical order comes with fries and your...	3.0	Berlin
44	bergmann-curry-berlin	"We went here on a recent trip to Germany to try currywurst.  It was as fatty and yummy as you would hope it would be... we opted to get it ""mit pelle"" I..."	5.0	Berlin
45	machete-burrito-berlin-berlin-4	What a wonderful experience, and a pleasure to find a great burrito. I have yet to find what I would consider to be truly good Mexican food in the UK...	5.0	Berlin
46	machete-burrito-berlin-berlin-4	"Love this place! The burritos are great, and as good as any I've had outside of Mexico.
I had the chimichurri chicken and they're namesake, El Machete. Both..."	5.0	Berlin
47	machete-burrito-berlin-berlin-4	Delicious food and friendly service. Lots of veg options. Some beer choices. Cozy seating. Will go again.	5.0	Berlin
48	thai-window-asia-berlin	Great tasting, authentic Thai food at a great price! I got the red curry and the BF got the green curry. Both dishes were under €10.00 each, which is quite...	4.0	Berlin
49	thai-window-asia-berlin	Awesome food. They had really tasty thai food and lots of beverage options.  I got the hot medicinal dish with duck. Trust them when they say it's hot. It's...	4.0	Berlin
50	thai-window-asia-berlin	I ate here the other day, had the red curry with duck. At €8.50 it's not a bad price, but not great either. The food itself was just okay. The cut of duck I...	3.0	Berlin
51	dada-falafel-berlin	Excellent falafel better than we get in California. I can eat there at least 3 time a week good service	5.0	Berlin
52	dada-falafel-berlin	Pricier falafel than you'd want from Berlin, and no peanut sauce on their halumikäse but the goods are green and fresh and it's a long walk from Mitte to...	4.0	Berlin
53	dada-falafel-berlin	"Is Dada Falafel best falafel in Berlin? Is it true?

Before I came here - I heard that you are here to try the best falafel in Berlin. Even somehow she was..."	3.0	Berlin
54	saigon-today-berlin	Wow ... I have no idea whether the food here is authentic vietnamese or not becuz 1) i am not vietnamese 2) and I dont think i am qualified to judge that...	5.0	Berlin
55	saigon-today-berlin	Always fresh. Always polite. Not on my last two visits.  Friendly servers, actually rude Delicious food.  They will adapt dishes for smaller portions or...	2.0	Berlin
56	saigon-today-berlin	We were in the neighborhood for a happy hour event, and were looking for dinner options after the event.  Since it was Sunday night, many places were...	4.0	Berlin
57	thanh-koch-berlin-2	I had low expectations given the fact this place is in a mall food court. Looking for something vegan and gluten-free in a German mall typically means I am...	5.0	Berlin
58	thanh-koch-berlin-2	"It's okay, I guess. 
If you want to eat cheap and not looking for quality, this might be the case. The waitress, who also was the lady behind the counter..."	3.0	Berlin
59	thanh-koch-berlin-2	Gotta love finding vietnamese gems like these. No msg added:) I would recommend the curry to anyone. Explosion of flavors in your mouth. Quick and cheap bite.	5.0	Berlin
60	tônis-berlin	"This place is rather tiny so I wouldn't recommend it to larger groups BUT I would definitely recommend it to everyone else! 
My girlfriend loves this place..."	5.0	Berlin
61	tônis-berlin	Good and cheap, but was not blown away. Expected more since it had a five star rating. I got the curry and it was pretty good but definitely not the best...	3.0	Berlin
62	tônis-berlin	"Cheap, tasty, fast(unless you arrive at 13-14 during a brake of all the office clercs arround).

Meals are nicely balanced and rounded."	5.0	Berlin
63	café-mori-berlin-3	Love this place! Very delicious, simple, healthy Brazilian food. Great strong coffee, tasty smoothies and the owner is so friendly and fun. Great vibes here...	5.0	Berlin
64	café-mori-berlin-3	Good sweet place with friendly staff and brazilian dishes. If you walk by worth checking out.	5.0	Berlin
65	café-mori-berlin-3	Where do you go when you want a comfort bowl of feijoada? Café Mori. Vegan and non-vegan are both tasty, I love the tomatoes, add the couve (pickled spinach...	4.0	Berlin
66	ali-baba-berlin-3	This was the best restaurant that I went to during my seven day stay in Berlin! I highly recommend the Ali Baba plate, which is a melange of Lebanese foods,...	5.0	Berlin
67	ali-baba-berlin-3	"I love the feeling when you accidentally discover new pearls of Friedrichshain. For sure one of them is certainly Ali Baba.

Ali Baba is faster than Speedy..."	4.0	Berlin
68	ali-baba-berlin-3	"The ""Ali Baba Platte"" sampler platter was simply A-Meze-ing!   When the man said it was ""a little bit of everything:"" he certainly wasn't kidding!  A bounty..."	5.0	Berlin
69	dolores-berlin-3	Best burritos in Berlin, hands down. The carnitas are to die for, the chipotle mayo is heavenly, the staff is super friendly, and, most importantly, the...	5.0	Berlin
70	dolores-berlin-3	"I really enjoyed Dolores, great food, friendly and helpful staff, and it's quick! Tons of vegan and vegetarian options. 

I ordered the bowl with pinto..."	4.0	Berlin
71	dolores-berlin-3	Food really good. We ordered Klassiker Burritos - naughty pork and wicked beef. Everything fresh and only 5 minutes waiting .	4.0	Berlin
72	rice-queen-berlin	Nothing was tasty. The lime chicken was inedible; the meat felt like it's been boiled dry. The gado gado wasn't a gado gado; there was frozen boiled carrots...	2.0	Berlin
73	rice-queen-berlin	Very good value! Cheap price and tasty food. Cozy restaurant, veeeery friendly waiters! The two of us ordered the snack plate as a starter, the black dragon...	4.0	Berlin
