	BuisnessID	Price	Rating	NoOfReviews	City
0	imbiss-204-berlin-2	€	4.5	119.0	Berlin
1	stadtklause-berlin	€	4.5	82.0	Berlin
2	burgermeister-berlin	€	4.5	600.0	Berlin
3	yarok-berlin	€	4.5	132.0	Berlin
4	spätzle-club-berlin	€	4.5	38.0	Berlin
5	scheers-schnitzel-berlin	€	4.5	110.0	Berlin
6	al-andalos-berlin	€	4.5	87.0	Berlin
7	dan-thai-food-berlin	€	4.5	24.0	Berlin
8	mishba-berlin	€	4.5	23.0	Berlin
9	mabuhay-berlin	€	4.5	67.0	Berlin
10	boulevard-friedrichstrasse-berlin	€	4.5	37.0	Berlin
11	la-pausa-berlin	€	4.5	117.0	Berlin
12	dolores-berlin	€	4.0	467.0	Berlin
13	mustafas-gemüsedöner-berlin	€	4.0	703.0	Berlin
14	bergmann-curry-berlin	€	4.5	70.0	Berlin
15	machete-burrito-berlin-berlin-4	€	4.5	57.0	Berlin
16	thai-window-asia-berlin	€	4.5	52.0	Berlin
17	dada-falafel-berlin	€	4.0	239.0	Berlin
18	saigon-today-berlin	€	4.5	124.0	Berlin
19	thanh-koch-berlin-2	€	4.5	15.0	Berlin
20	tônis-berlin	€	4.5	69.0	Berlin
21	let-s-asia-berlin	€	4.5	21.0	Berlin
22	café-mori-berlin-3	€	5.0	26.0	Berlin
23	ali-baba-berlin-3	€	4.5	88.0	Berlin
24	dolores-berlin-3	€	4.0	157.0	Berlin
25	wau-wirtshaus-am-ufer-berlin	€	4.0	17.0	Berlin
26	rice-queen-berlin	€	4.5	86.0	Berlin
27	all-in-one-berlin	€	4.0	35.0	Berlin
28	thành-nho-berlin-2	€	5.0	29.0	Berlin
29	matreshka-berlin-2	€€	4.5	170.0	Berlin
30	akiko-sushi-berlin-2	€	4.0	184.0	Berlin
31	curry-mitte-berlin-2	€	4.0	68.0	Berlin
32	konak-grill-berlin-2	€	4.5	66.0	Berlin
33	sofra-grill-berlin	€	4.5	18.0	Berlin
